organ,code,busdate,outofstockrate,turnoverdays,new_storage
1016,6920907800654,2022-05-02,0.0,19.75051975051975,1.56
1016,6920907800654,2022-05-03,0.0,18.633540372670808,2.405
1016,6920907800654,2022-05-04,0.0,20.713463751438436,2.405
1016,6920907800654,2022-06-17,0.03571428571428571,21.73913043478261,0.621
1016,6920907800654,2022-06-18,0.03571428571428571,21.73913043478261,0.7095
1016,6920907800968,2022-06-02,0.03571428571428571,22.757697456492636,1.52
1016,6920907800968,2022-06-13,0.03571428571428571,15.463917525773196,0.194
1016,6920907800968,2022-06-14,0.03571428571428571,10.309278350515463,0.175
1016,6920907800968,2022-06-15,0.03571428571428571,11.428571428571429,0.258
1016,6920907800968,2022-06-16,0.03571428571428571,7.751937984496124,0.258
1016,6920907800968,2022-06-17,0.03571428571428571,7.751937984496124,0.224
1016,6920907800968,2022-06-18,0.03571428571428571,4.464285714285714,0.138
1016,6920907801989,2022-06-04,0.03571428571428571,20.18633540372671,0.7965
1016,6920907801989,2022-06-05,0.03571428571428571,17.777777777777775,0.966
1016,6920907801989,2022-06-06,0.03571428571428571,21.11324376199616,1.0125000000000002
1016,6920907801989,2022-06-07,0.03571428571428571,21.11324376199616,0.7815000000000001
1016,6920907801989,2022-06-08,0.03571428571428571,21.11324376199616,0.7815000000000001
1016,6920907801989,2022-06-09,0.03571428571428571,21.11324376199616,0.7815000000000001
1016,6920907801989,2022-06-10,0.03571428571428571,21.11324376199616,0.7815000000000001
1016,6920907802320,2022-06-10,0.03571428571428571,20.044543429844097,0.5655
1016,6920907802320,2022-06-11,0.03571428571428571,22.55639097744361,0.6735
1016,6920907802320,2022-06-15,0.03571428571428571,22.72727272727273,0.5265
1016,6920907802320,2022-06-16,0.03571428571428571,22.792022792022795,0.5820000000000001
1016,6920907803020,2022-06-07,0.03571428571428571,22.471910112359552,0.705
1016,6920907803020,2022-06-08,0.03571428571428571,12.775842044134727,0.9345
1016,6920907803020,2022-06-09,0.03571428571428571,14.193548387096774,1.2915
1016,6920907803020,2022-06-10,0.03571428571428571,12.531328320802004,1.1625
1016,6920907803020,2022-06-11,0.03571428571428571,13.92757660167131,1.995
1016,6920907803020,2022-06-12,0.03571428571428571,15.479876160990711,1.795
1016,6920907803020,2022-06-13,0.03571428571428571,20.123839009287924,1.615
1016,6920907803020,2022-06-14,0.03571428571428571,20.123839009287924,1.7025000000000001
1016,6920907803020,2022-06-15,0.03571428571428571,17.621145374449338,1.5325
1016,6920907803020,2022-06-16,0.03571428571428571,17.94453507340946,1.6300000000000001
1016,6920907803020,2022-06-17,0.03571428571428571,15.337423312883436,1.4674999999999998
1016,6920907803020,2022-06-18,0.03571428571428571,17.035775127768314,1.57
1016,6920907803419,2022-04-30,0.0,22.764227642276424,0.663
1016,6920907803419,2022-05-01,0.0,19.877675840978593,0.9225
1016,6920907803419,2022-05-02,0.0,17.416545718432513,0.9810000000000001
1016,6920907803419,2022-05-04,0.0,18.494055482166445,1.0334999999999999
1016,6920907803419,2022-05-23,0.0,24.216524216524217,1.6725
1016,6920907803419,2022-05-24,0.0,24.637681159420293,1.755
1016,6920907803419,2022-05-25,0.0,18.270401948842874,1.7249999999999999
1016,6920907803419,2022-05-26,0.0,20.29769959404601,2.0524999999999998
1016,6920907803419,2022-05-27,0.0,15.028901734104046,1.8475
1016,6920907803419,2022-05-28,0.0,16.709511568123393,2.1625
1016,6920907803419,2022-05-30,0.03571428571428571,20.634920634920636,1.945
1016,6920907803419,2022-05-31,0.03571428571428571,17.991004497751124,1.575
1016,6920907803419,2022-06-01,0.03571428571428571,19.575856443719413,1.6675
1016,6920907803419,2022-06-02,0.03571428571428571,19.575856443719413,1.5325
1016,6920907803419,2022-06-03,0.03571428571428571,15.57632398753894,1.5325
1016,6920907803419,2022-06-04,0.03571428571428571,15.57632398753894,0.9630000000000001
1016,6920907803419,2022-06-05,0.03571428571428571,13.27433628318584,0.9630000000000001
1016,6920907803419,2022-06-06,0.03571428571428571,13.27433628318584,1.0170000000000001
1016,6920907804478,2022-04-10,0.0,9.493670886075948,1.57
1016,6920907804478,2022-04-11,0.0,10.75268817204301,1.58
1016,6920907804478,2022-05-02,0.0,24.074074074074073,0.7695000000000001
1016,6920907804478,2022-05-05,0.0,24.793388429752067,0.726
1016,6920907804478,2022-05-06,0.0,16.750418760469014,0.783
1016,6920907804478,2022-05-07,0.0,19.53125,0.783
1016,6920907804478,2022-05-08,0.0,17.175572519083968,0.768
1016,6920907808018,2022-04-10,0.0,23.300970873786408,0.8985
1016,6920907808018,2022-04-14,0.0,14.90066225165563,0.6945
1016,6920907808018,2022-04-29,0.0,19.28374655647383,1.7463525663676076
1016,6920907808018,2022-04-30,0.0,21.682567215958368,1.089
1016,6920907808018,2022-05-01,0.0,16.442451420029894,1.7295
1016,6920907808018,2022-05-02,0.0,12.632978723404255,2.007
1016,6920907808018,2022-05-03,0.0,12.379642365887207,2.2560000000000002
1016,6920907808018,2022-05-04,0.0,10.603048376408218,2.2560000000000002
1016,6920907808018,2022-05-22,0.0,16.887816646562126,1.7639999999999998
1016,6920907808018,2022-05-23,0.0,18.766756032171582,2.219230263012277
1016,6920907808018,2022-05-24,0.0,20.864381520119224,2.238
1016,6920907808018,2022-05-25,0.0,18.465909090909093,2.013
1016,6920907808018,2022-05-26,0.0,16.348773841961854,2.112
1016,6920907808018,2022-05-27,0.0,14.45466491458607,2.202
1016,6920907808018,2022-05-28,0.0,16.05839416058394,2.008350239627581
1016,6920907808018,2022-05-30,0.03571428571428571,16.3265306122449,2.219495849809333
1016,6920907808018,2022-05-31,0.03571428571428571,13.824884792626728,3.0098600338598227
1016,6920907808018,2022-06-01,0.03571428571428571,11.661807580174926,3.4415208064350016
1016,6920907808018,2022-06-02,0.03571428571428571,8.469055374592834,3.418320295954771
1016,6920907808018,2022-06-03,0.03571428571428571,9.406657018813315,3.1610745501288267
1016,6920907808018,2022-06-04,0.03571428571428571,10.45016077170418,2.375760306520542
1016,6920907808018,2022-06-05,0.03571428571428571,11.607142857142856,2.014035927584017
1016,6920907808117,2022-04-10,0.0,5.098324836125273,2.578560228686605
1016,6920907808117,2022-04-11,0.0,13.754045307443366,1.3753367329080795
1016,6920907808117,2022-04-12,0.0,15.28776978417266,1.38270585449278
1016,6920907808117,2022-04-13,0.0,16.983016983016984,1.7609104438002952
1016,6920907808117,2022-04-14,0.0,13.623978201634877,1.7070900983063049
1016,6920907808117,2022-04-15,0.0,15.136226034308779,1.2938704050326264
1016,6920907808117,2022-04-16,0.0,11.904761904761903,1.3215955427770132
1016,6920907808117,2022-04-17,0.0,7.794232268121591,2.510130176095078
1016,6920907808117,2022-04-18,0.0,12.987012987012987,1.4174709018080365
1016,6920907808117,2022-04-19,0.0,14.423076923076923,1.4387758312100303
1016,6920907808117,2022-04-20,0.0,16.025641025641026,1.7204288335684472
1016,6920907808117,2022-04-21,0.0,14.8619957537155,1.7359512340655103
1016,6920907808117,2022-04-22,0.0,16.50943396226415,1.411249120678449
1016,6920907808117,2022-04-23,0.0,8.598452278589853,1.5204158742795484
1016,6920907808117,2022-04-24,0.0,7.846556233653008,2.5113607943258938
1016,6920907808117,2022-04-25,0.0,13.565891472868216,1.5697269351545178
1016,6920907808117,2022-04-26,0.0,15.069967707212054,1.5738242442962287
1016,6920907808117,2022-04-27,0.0,22.727272727272727,1.6596862276364668
1016,6920907808117,2022-04-28,0.0,21.126760563380284,1.650590616892092
1016,6920907808117,2022-04-29,0.0,10.26045777426993,1.5058468209121254
1016,6920907808117,2022-04-30,0.0,6.8965517241379315,1.3217169417004289
1016,6920907808117,2022-05-02,0.03571428571428571,4.510045100451005,2.844349672397787
1016,6920907808117,2022-05-03,0.03571428571428571,8.94454382826476,3.6080592431113767
1016,6920907808117,2022-05-04,0.03571428571428571,7.812500000000001,3.4285500531181037
1016,6920907808117,2022-05-05,0.03571428571428571,14.563106796116505,5.3484150452643995
1016,6920907808117,2022-05-06,0.03571428571428571,20.68345323741007,6.370685369317521
1016,6920907808117,2022-05-07,0.03571428571428571,19.981834695731155,2.2560000000000002
1016,6920907808117,2022-05-08,0.03571428571428571,16.792611251049536,2.331
1016,6920907808117,2022-05-09,0.03571428571428571,18.656716417910445,2.697
1016,6920907808117,2022-05-10,0.03571428571428571,20.72538860103627,2.427
1016,6920907808117,2022-05-11,0.03571428571428571,23.04147465437788,2.184
1016,6920907808117,2022-05-13,0.03571428571428571,23.6612702366127,1.77
1016,6920907808117,2022-05-18,0.03571428571428571,18.45819761129207,3.069
1016,6920907808117,2022-05-20,0.03571428571428571,17.73049645390071,2.487
1016,6920907808117,2022-05-21,0.03571428571428571,11.89532117367169,2.538
1016,6920907808117,2022-05-22,0.03571428571428571,13.215859030837004,3.470680478668265
1016,6920907808117,2022-05-23,0.03571428571428571,19.569471624266143,3.4050000000000002
1016,6920907808117,2022-05-24,0.03571428571428571,21.73913043478261,3.066
1016,6920907808117,2022-05-25,0.03571428571428571,24.154589371980677,2.7600000000000002
1016,6920907808117,2022-05-28,0.03571428571428571,22.4159402241594,2.0100000000000002
1016,6920907808117,2022-05-30,0.03571428571428571,22.813688212927755,2.4090000000000003
1016,6920907808117,2022-05-31,0.03571428571428571,14.721345951629864,2.367
1016,6920907808117,2022-06-01,0.03571428571428571,9.515570934256056,2.8529999999999998
1016,6920907808117,2022-06-02,0.03571428571428571,10.576923076923077,3.468
1016,6920907808117,2022-06-03,0.03571428571428571,10.576923076923077,3.12
